#KEY	HISAT2 on dataset 67 and 68: aligned reads (BAM)_2	HISAT2 on dataset 65 and 66: aligned reads (BAM)_2	HISAT2 on dataset 63 and 64: aligned reads (BAM)_2	HISAT2 on dataset 61 and 62: aligned reads (BAM)_2
10850	1	4	4	3
10855	46	27	24	9
10856	435	750	750	737
10857	2173	4668	2752	3318
10858	1	5	3	3
10859	0	0	0	0
10861	36	107	50	74
10863	3	10	2	1
10864	0	0	0	1
10865	375	364	529	429
10866	0	0	0	1
10867	2377	3302	2913	3078
10868	299	619	441	588
10869	747	1460	1204	1332
1087	0	0	0	0
10870	11	16	12	8
10871	0	0	0	0
10873	244	647	304	474
10874	0	0	0	0
10875	131	316	25	72
10876	0	0	0	0
10877	1	0	0	0
10878	0	2	1	2
10879	0	0	0	0
1088	0	0	0	0
10880	0	0	0	0
10881	0	0	0	0
10882	12	25	14	24
10884	157	289	214	284
10885	314	544	404	507
10886	0	0	0	0
10887	0	0	0	0
10888	0	2	1	0
1089	0	0	0	0
10890	1750	2817	2217	2700
10891	45	90	103	135
10892	604	787	598	556
10893	317	390	273	263
10894	10	8	4	4
10895	0	0	0	0
10896	3	5	2	3
10897	414	771	740	774
10898	196	385	268	383
10899	916	1357	1285	1497
109	1167	1216	1122	1056
10900	19	14	14	8
10901	85	146	131	114
10902	862	1696	989	1325
10903	370	755	333	558
10904	689	1238	1149	1120
10905	1001	1989	1369	1812
10906	847	1175	989	1046
10907	293	481	345	408
10908	1062	1754	1283	1339
10910	384	641	581	693
10911	0	1	0	0
10912	4	11	10	28
10913	0	0	0	0
10914	2010	3597	2847	3248
10915	458	937	669	806
10916	1509	4057	2288	3543
10917	0	0	0	0
10919	0	0	0	0
10920	908	1377	1171	1174
10921	851	1238	1326	1158
10922	622	1241	1049	1209
10923	1275	2365	2018	2583
10924	1238	1743	2391	2044
10926	46	95	65	97
10927	1191	2314	1331	2042
10928	2035	2533	3088	2495
10929	466	532	544	458
10930	2	4	4	1
10933	4765	6266	4991	5258
10934	16	28	16	17
10935	1419	1898	1917	1902
10936	8	22	17	5
10938	1539	2377	2049	1815
10939	914	1310	1268	1249
10940	109	248	198	258
10941	0	0	0	0
10942	2	5	0	1
10943	311	481	507	472
10944	2102	3019	2576	2624
10945	2092	3500	2367	2728
10946	790	1251	1110	1087
10947	260	519	269	436
10948	516	813	713	787
10949	1388	2504	2340	2765
10950	341	513	450	506
10951	798	1911	1115	1719
10952	515	927	863	885
10953	383	932	558	834
10954	446	867	580	736
10955	3831	4694	4235	3884
10956	5697	9796	7125	7917
10957	1821	2032	2243	1920
10959	3638	6006	4316	4665
10960	1295	2487	2283	2392
10961	1264	2565	1714	2206
10962	55	184	102	145
10963	897	1682	1468	1579
10964	91	37	127	70
10965	137	174	245	178
10966	144	326	237	328
10969	349	593	496	491
10970	2663	5082	2972	4400
10971	1474	2584	2054	2414
10972	4819	7050	4580	5262
10973	1007	2357	1644	2224
10974	0	0	0	0
10975	714	1204	1117	1144
10978	150	218	200	219
10979	2695	3495	4619	2990
10980	774	1741	1225	1513
10981	373	903	700	961
10982	284	1124	463	792
10983	2710	3877	2600	3428
10984	112	246	157	197
10985	1470	2680	2600	2862
10987	504	873	654	722
10988	1273	1983	1384	1615
10989	780	1328	1063	1102
10990	0	0	0	0
10991	0	0	0	2
10992	2828	4927	3865	4207
10993	0	2	1	1
10994	440	782	704	844
10998	21	68	59	58
10999	286	322	435	324
11000	234	408	364	385
11001	0	5	2	1
11004	20	29	39	37
11005	1	0	0	1
11006	0	0	0	0
11007	341	796	627	959
11009	1	0	1	0
1101	12	23	23	19
11010	1134	2333	1306	1329
11011	490	779	610	554
11012	0	0	0	0
11013	5	9	6	15
11014	3420	5524	4092	5208
11015	965	1594	1362	1263
11016	854	1456	1098	1351
11017	338	571	465	514
11018	235	459	369	466
11019	67	141	78	139
1102	212	320	334	294
11020	158	309	208	280
11021	813	1085	1234	1071
11022	31	60	32	37
11023	0	0	0	0
11024	0	0	0	0
11025	1	3	5	5
11026	0	0	0	0
11027	0	0	0	0
1103	0	0	0	0
11030	2704	2504	3749	1985
11031	3536	2997	3415	2128
11033	41	15	18	6
11034	17379	16220	13382	8215
11035	19	35	30	16
11036	0	0	0	0
11037	1096	630	980	554
1104	275	436	483	475
11040	54	58	45	59
11041	612	891	729	809
11042	0	17	7	9
11043	209	337	264	261
11044	338	516	445	536
11045	20	42	16	9
11046	408	504	505	497
11047	910	1544	1262	1286
1105	372	654	482	552
11051	1173	1884	1629	2011
11052	880	1382	1175	1294
11054	479	753	745	820
11055	0	0	0	0
11056	321	572	407	495
11057	1428	1782	1466	1587
11059	601	925	741	838
1106	1766	3088	2502	3005
11060	325	620	454	547
11061	0	0	0	0
11062	35	67	42	69
11063	2	4	3	4
11064	148	329	203	266
11065	8	11	22	20
11066	123	198	159	183
11067	5	3	2	0
11068	88	181	117	165
11069	9	43	26	58
1107	5453	10719	7141	9099
11070	984	1478	1291	1119
11072	635	672	710	646
11073	537	761	761	718
11074	0	0	0	0
11075	0	2	0	0
11076	5	6	7	4
11077	12	22	18	10
11078	2312	6488	5079	7081
11079	1518	2274	1994	1937
1108	2363	6004	3803	5506
11080	1525	871	1610	638
11081	0	1	0	1
11082	19	49	11	21
11083	970	1673	1295	1609
11085	0	0	0	0
11086	0	0	0	1
1109	1	0	0	0
11091	398	601	639	613
11092	49	96	52	79
11093	139	246	193	240
11094	131	266	177	242
11095	2516	6917	6296	4739
11096	5679	3106	5017	609
11097	168	226	185	226
11098	5953	14956	4024	9372
11099	1087	1674	1266	1445
111	24	47	13	22
11100	3164	5945	4753	5569
11101	163	274	214	279
11102	185	353	239	345
11103	268	542	341	472
11104	260	370	317	390
11105	0	0	0	0
11107	67	186	117	131
11108	494	773	691	748
1111	197	308	266	249
11112	1021	2081	946	1317
11113	118	484	132	396
11116	92	217	119	193
11117	7878	12427	15925	14457
11118	290	668	217	379
11119	332	951	390	885
1112	3027	3305	3557	3673
11120	392	638	444	449
11122	0	0	0	0
11123	98	128	67	50
11124	532	740	646	706
11126	8	9	17	11
11127	218	600	235	387
11128	353	672	515	636
11129	207	451	421	347
1113	0	0	0	1
11130	64	104	72	82
11131	0	0	0	1
11132	135	226	211	232
11133	110	161	193	191
11135	985	1736	1684	1674
11136	0	1	2	3
11137	624	967	780	808
11138	126	244	134	185
1114	2	2	2	1
11140	1483	2886	2370	2363
11141	1	3	1	1
11142	1164	2053	1270	1607
11143	416	801	503	678
11144	52	23	42	14
11145	343	462	421	364
11146	97	130	128	130
11147	108	181	105	118
11148	0	0	0	0
11149	327	376	420	323
11151	2	14	3	13
11152	802	1225	1072	1022
11153	66	129	86	93
11154	30	68	37	38
11155	8	9	8	6
11156	18	40	18	31
11157	126	136	162	157
11158	154	318	214	258
11159	76	182	128	174
1116	372	634	21	63
11160	1085	2523	1130	1812
11161	287	485	257	386
11162	18	31	19	38
11163	1115	891	922	873
11164	480	908	758	749
11165	272	513	400	393
11166	0	0	1	0
11167	63828	67145	80646	40482
11168	1038	2241	1147	1736
11169	83	149	167	239
1117	790	1518	1217	1042
11170	445	34	271	12
11171	1517	2124	1940	1603
11172	0	0	0	0
11173	1680	1792	1047	1056
11174	87	219	128	150
11176	1292	2317	1834	1982
11177	253	499	457	488
11178	30	123	30	92
11179	314	517	412	479
1118	3	0	0	1
11180	1144	2504	1979	2824
11181	2	4	8	1
11182	35	88	67	67
11183	1292	2476	1490	1893
11184	4	3	1	6
11185	1210	1094	245	162
11186	550	659	782	673
11187	2	6	2	2
11188	1299	2854	1602	2296
11189	4	1	2	1
1119	133	107	222	130
11190	420	1008	630	953
11191	7	5	11	13
11193	305	407	371	313
11194	280	489	436	463
11196	793	1155	1078	1218
11197	0	2	0	0
11198	1697	2873	2177	2520
11199	1	1	0	0
112	1390	2337	1536	1806
1120	1	0	0	2
11200	126	266	213	236
11201	384	575	473	550
11202	0	0	0	0
11209	38	56	74	57
1121	418	736	532	726
11211	0	0	0	1
11212	441	585	445	442
11213	506	345	849	475
11214	2257	2562	2915	2642
11215	1181	2124	1498	1900
11216	402	742	521	576
11217	46	68	76	46
11218	246	362	319	299
11219	10	22	22	24
1122	217	208	242	319
11221	101	397	215	537
11222	493	919	760	833
11223	18	36	36	22
11224	2310	5132	5744	5500
11226	125	261	54	88
11227	780	1972	979	1519
11228	1148	950	1159	784
1123	898	3027	1312	1846
11230	415	826	495	647
11231	2463	4443	2372	2893
11232	61	118	106	116
11234	1230	615	992	496
11235	369	453	469	372
11236	535	863	785	867
11237	799	1057	851	966
11238	167	229	160	182
112398	836	1456	1562	1498
112399	21	92	38	198
1124	5	22	4	17
11240	3	13	1	0
112401	0	0	0	0
11243	211	447	292	366
11244	674	1434	917	1237
11245	1255	3030	1889	2705
112464	688	1230	956	1093
11247	6	38	14	31
112476	136	461	231	329
112479	133	328	124	210
11248	348	191	150	140
112483	404	742	635	790
112487	183	271	169	182
11249	0	0	0	0
112495	278	483	330	351
11250	0	1	3	1
11251	24	42	61	35
11252	699	984	1036	860
11253	1200	2242	1539	1828
11254	0	0	0	0
11255	0	0	1	0
11257	132	268	210	240
112574	2637	4298	2802	4051
11258	477	899	701	834
11259	1209	4406	1547	2415
112597	198	308	318	229
11260	1554	3838	2154	3477
112609	1	0	2	0
11261	2101	2517	2326	2102
112611	100	182	98	152
112616	70	158	107	107
11262	1	7	2	2
11264	185	345	214	284
11266	111	291	169	262
11267	515	857	665	772
11269	182	293	227	288
11270	0	0	0	0
112703	0	7	3	6
112714	0	0	1	0
11272	18	39	10	22
112724	46	88	81	101
11273	1011	2023	1593	1698
11274	28	44	36	46
112744	0	0	0	0
11275	219	385	334	308
112752	202	324	268	301
112755	42	112	52	99
11276	547	1280	692	1203
11277	101	205	157	169
112770	1277	2449	1807	2393
11278	489	974	617	804
11279	81	115	55	57
1128	0	0	0	0
11280	4	9	1	3
112802	0	0	0	0
11281	0	0	0	0
112812	140	247	186	222
112817	33	35	26	24
11282	4094	5693	5374	5611
11283	0	0	0	0
11284	148	381	289	411
112840	46	92	77	84
112849	256	408	418	369
11285	219	526	350	468
112858	289	395	405	365
112869	58	132	90	77
112885	0	0	0	0
1129	407	1614	1150	2125
112936	692	1316	1013	1346
112937	0	0	0	0
112939	691	1238	1055	1131
112942	402	868	484	587
112950	328	591	451	461
112970	108	164	188	155
113	204	404	284	309
1130	571	837	851	1080
113000	122	221	278	289
113026	1279	2416	2019	2369
11309	0	0	1	0
113091	0	0	0	0
1131	0	2	0	1
11311	451	879	581	678
113115	13	13	16	14
11313	262	443	438	416
113130	38	54	35	50
11314	0	0	0	0
113146	1689	4898	2228	4754
11315	1479	2554	2440	2451
113157	9	43	10	32
11316	887	1757	1467	1606
11317	0	0	0	0
113174	59	131	98	122
113177	27	27	60	24
113178	804	1413	1079	1282
113179	14	23	38	35
11318	0	1	0	1
113189	665	1010	915	934
11319	272	519	355	435
1132	1	2	0	0
11320	2	2	12	12
113201	2481	4216	2303	2692
11321	386	645	480	542
11322	0	3	1	1
113220	0	0	0	2
113230	24	30	21	22
113235	30	64	30	42
113246	491	969	1042	990
11325	1885	3302	2370	2908
113251	795	714	1322	778
11326	0	0	0	0
113263	234	256	226	166
113277	40	106	25	60
113278	0	0	0	0
11328	4768	7566	4539	5131
11329	1087	1504	1321	1305
1133	1	0	0	0
11330	0	0	1	2
11331	1451	2737	2589	2525
11332	317	636	441	486
11333	1243	2241	1788	1787
11334	241	341	337	350
11335	1316	2028	1901	2040
11336	571	1078	835	968
11337	3396	5511	4189	5654
11338	989	2407	1689	2286
11339	10	18	7	9
1134	0	7	1	6
11340	121	198	178	223
113402	318	435	396	354
11341	39	14	28	8
113419	2540	3748	3458	3583
11342	909	1043	995	986
11343	2948	5480	4457	3366
11344	498	914	975	1078
113444	326	453	502	398
11345	1106	1331	1296	1257
113451	21	51	43	49
113452	200	503	333	531
113457	3	2	4	9
11346	2577	6309	3776	5792
1135	0	0	0	0
113510	135	286	203	214
113540	14	40	25	35
1136	0	1	0	0
113612	1122	1557	991	1117
113622	5	24	17	32
113655	56	147	95	113
113675	28	99	48	95
113691	0	5	4	10
1137	0	0	0	0
113730	1	23	2	19
113746	0	0	0	0
113763	5	12	1	3
113791	2203	3217	1770	2494
1138	0	3	1	3
113802	25	43	31	47
113828	0	0	0	0
113829	692	1060	980	1081
113835	4	9	7	9
113878	56	118	105	126
1139	4	3	5	6
114	1	11	1	46
1140	65	101	122	86
114026	0	0	0	0
114034	53	119	68	92
114036	1	4	0	3
114038	0	1	0	0
114041	0	0	0	0
114043	8	19	4	6
114044	9	15	1	14
114049	357	741	566	657
114088	19	38	99	110
1141	5	0	3	1
114112	99	211	145	178
114131	0	0	0	0
114132	0	0	0	0
114134	285	348	437	332
1142	0	0	0	0
114224	0	0	0	0
114294	295	331	429	360
114299	9	21	14	7
1143	0	0	0	0
114327	392	687	529	592
114335	0	0	0	0
114336	0	0	0	0
1144	0	0	0	0
1145	22	19	6	2
114548	2	2	0	4
114569	0	2	1	1
114571	0	0	0	0
114599	0	0	1	2
1146	0	2	0	0
114609	76	144	107	146
114614	7	16	9	24
114625	546	1182	502	774
114659	84	125	76	97
1147	422	495	559	487
114757	589	1333	1111	1596
114758	0	0	0	0
114760	0	0	0	0
114761	0	0	0	0
114769	38	99	49	66
114770	0	0	0	0
114771	0	0	0	0
114780	55	289	96	159
114781	382	543	408	425
114783	8	8	6	7
114784	347	702	988	1014
114785	339	808	654	634
114786	0	0	0	0
114787	38	99	59	106
114788	0	0	1	0
114789	263	351	392	323
114790	191	351	279	313
114791	267	479	330	351
114792	0	0	0	0
114793	1236	1439	1581	1220
114794	1	3	1	3
114795	44	101	22	38
114796	192	473	310	470
114798	8	9	1	0
114799	182	333	259	232
114800	18	98	32	73
114801	309	1194	442	1133
114803	170	370	258	357
114804	92	79	441	215
114805	3	2	4	7
114814	141	252	203	230
114815	0	0	0	0
114818	634	958	743	592
114819	66	180	80	124
114821	0	0	0	0
114822	4	8	4	6
114823	1453	2653	2382	2159
114824	0	0	0	0
114825	175	310	267	335
114826	148	283	133	205
114827	0	0	0	1
114836	0	0	0	0
114876	1329	2515	1034	1768
114879	755	1172	1648	1420
114880	9	29	14	17
114881	74	270	125	226
114882	3622	7240	3330	4054
114883	1218	1552	1702	1191
114884	53	151	117	154
114885	215	394	296	352
114897	859	562	942	451
114898	47	182	72	155
114899	18	37	19	15
1149	0	0	0	0
114900	1	3	2	0
114902	0	0	0	0
114904	121	292	195	246
114905	243	224	83	140
114907	1293	867	2142	854
114908	3856	4813	3925	4005
114915	238	460	389	485
114926	302	405	293	372
114928	189	594	181	435
114932	562	1112	740	935
114960	0	0	0	0
114971	261	418	290	301
114984	209	403	371	338
114987	57	119	47	85
114990	2286	4996	2913	4737
114991	268	827	409	781
115	1101	1958	1503	1791
115004	22	47	43	48
115019	0	0	0	0
115024	448	795	534	587
115098	390	700	699	626
115106	172	293	268	309
115110	0	0	0	1
115111	7	9	8	9
115123	24	72	44	52
115196	86	120	72	89
1152	440	568	515	334
115201	140	254	200	242
115207	414	4778	829	4731
115209	182	303	227	247
115265	18	53	27	69
115273	11	24	31	28
115286	180	289	264	263
115290	383	716	550	631
115294	1085	1994	1339	2194
1153	1731	3750	2035	3141
115330	16	17	10	13
115350	0	0	0	0
115352	0	0	0	0
115353	456	577	537	510
115361	24	90	20	52
115362	1	6	3	6
115399	13	51	26	39
1154	30	49	44	61
115416	195	271	265	239
115426	640	1062	818	1128
1155	589	966	992	897
115509	98	215	134	145
115548	694	836	777	751
115557	1050	1305	1357	1197
115560	42	68	73	111
115572	68	34	96	18
115584	0	0	5	2
115650	1	2	0	0
115653	0	0	0	0
115677	17	16	18	12
115701	139	311	261	330
115703	53	133	106	127
115704	296	792	427	616
115708	216	348	360	334
115727	0	2	1	0
115749	0	5	0	2
115752	426	721	493	449
115761	0	0	0	0
115795	0	0	0	0
1158	2	2	2	2
115811	14	32	12	15
115817	111	281	228	374
115825	49	151	108	144
115827	0	0	0	0
115861	0	0	0	0
1159	0	0	0	0
115908	1520	1093	971	792
115939	279	550	529	553
115948	4	24	7	6
115950	25	47	49	50
115992	81	175	141	161
116	0	0	0	0
1160	5	27	11	24
116028	76	95	44	97
116039	1650	5940	4248	5530
116064	729	913	945	1002
116068	348	568	467	599
116071	5	32	21	83
116085	0	0	0	0
116092	205	461	303	399
116093	9	26	21	16
1161	87	204	133	205
116113	238	394	311	338
116115	153	265	212	285
116123	0	0	0	0
116135	0	0	0	0
116138	868	908	1081	927
116143	122	261	196	221
116150	459	673	609	640
116151	1627	2796	2788	3377
116154	0	0	0	0
116159	1	4	1	6
116173	0	0	1	0
116179	0	0	0	0
116211	0	7	1	5
116224	193	423	335	435
116225	134	207	171	203
116228	9	31	8	15
116236	400	415	454	336
116238	23	63	44	54
116254	1470	2144	1325	1378
116255	0	0	0	1
116285	0	0	0	0
1163	56	122	95	130
116328	114	189	41	52
116337	0	0	0	0
116349	36	94	29	44
116362	0	3	0	0
116369	0	3	4	1
116372	2	0	0	0
116379	0	0	0	0
1164	164	267	288	244
116412	16	45	27	42
116437	0	0	1	0
116441	0	0	0	0
116442	5	19	10	14
116443	4	6	6	5
116444	30	80	38	39
116447	152	280	251	285
116448	0	0	0	0
116449	0	0	0	0
116461	230	502	284	429
116496	1167	3031	1235	2417
116511	0	0	0	0
116512	0	0	2	0
116519	0	1	1	1
116534	0	1	0	0
116535	2131	2691	4232	2835
116540	126	279	294	317
116541	128	236	162	184
116729	0	1	1	0
116828	23	35	26	19
116832	63	126	107	117
116835	17	98	25	180
116840	313	575	477	569
116841	263	645	362	588
116842	1	7	4	1
116843	98	204	117	248
116844	0	0	0	0
116931	34	82	49	88
116933	0	0	0	0
116936	5	10	8	14
116937	2	2	2	2
116938	4	6	1	4
116966	43	89	49	78
116969	15	48	2	10
116983	388	1079	1013	1345
116984	55	145	36	50
116985	1532	3291	2154	3075
116986	3	3	3	5
116987	263	608	476	604
116988	675	1044	1167	1244
117	0	0	0	0
117143	69	129	107	120
117144	0	0	1	0
117145	119	287	168	198
117153	0	0	0	0
117154	0	0	0	0
117155	7	19	2	12
117156	0	0	0	0
117157	0	0	0	0
117159	0	0	0	0
117166	1	2	1	1
117177	32	35	51	40
117178	375	905	495	520
117194	0	0	0	0
117195	0	0	0	0
117196	0	0	0	0
117245	43	45	65	46
117246	1013	1492	1441	1236
117247	0	1	3	1
117248	16140	9288	15329	6753
117283	15	33	35	35
117285	0	0	0	0
117286	0	0	0	0
117289	1	8	3	5
1173	5309	9203	7785	7693
1174	542	986	818	955
1175	794	1309	1138	1059
117531	3	6	1	0
117532	52	50	59	26
117579	0	0	0	0
117581	1488	2211	2945	1698
117583	724	1145	541	616
117584	242	420	332	428
1176	1687	2465	1891	2035
117608	80	121	105	113
1178	0	0	0	0
117852	3	8	2	6
117854	68	139	85	121
1179	0	0	1	0
118	5241	8026	6331	6577
1180	0	1	0	0
1181	28	79	62	65
1182	711	1842	1018	1662
1183	567	767	641	514
1184	247	362	284	264
118421	1	1	3	1
118424	373	670	600	603
118425	0	1	0	0
118426	118	258	94	179
118427	0	0	0	0
118429	4767	6118	5248	4437
118430	0	0	0	0
118432	1	0	0	0
118433	57	120	86	119
118442	0	2	1	1
118460	47	135	103	141
118461	2	1	0	1
118471	1	4	2	2
118472	118	250	223	233
118487	154	205	252	241
118490	37	40	23	32
118491	49	71	51	76
1185	418	661	631	746
1186	1124	2122	1592	1946
118611	0	6	1	0
118663	0	0	0	0
118670	0	0	0	0
118672	26	64	43	38
1187	5	6	2	2
118738	2	19	1	18
118788	23	43	31	23
1188	4	7	2	3
118812	114	225	91	163
118813	279	487	377	454
118856	2	1	0	0
118881	54	53	101	54
118924	228	386	262	266
118932	0	0	0	0
118980	39	46	23	37
118987	433	668	491	549
119	0	0	0	0
119016	15	23	24	39
119032	296	524	386	402
1191	12689	22339	10021	15147
119180	0	0	0	0
1192	0	0	1	1
1193	204	705	224	526
119369	3	4	0	2
119385	19	42	12	33
119391	28	63	18	12
119392	65	89	72	91
119395	0	0	0	0
119467	0	1	0	0
1195	2092	2365	2567	2488
119504	669	1018	890	845
119548	0	0	0	0
119559	61	85	66	71
119587	2783	4681	1046	1677
1196	332	760	543	592
119678	0	0	0	0
119679	0	0	0	0
119682	0	0	0	0
119687	0	0	0	0
119692	0	0	0	0
119694	0	0	0	0
119695	0	0	0	0
1197	3	3	1	2
119710	175	338	189	242
119749	0	0	0	0
119764	0	0	0	0
119765	0	0	0	0
119772	0	0	0	0
119774	0	0	0	0
1198	313	590	534	550
12	2865	657	7590	641
120	3485	6451	5325	5580
1200	3823	7427	4431	7063
120065	0	0	0	0
120066	0	0	0	0
120071	0	0	0	0
1201	402	580	509	537
120103	179	256	246	222
120114	5	27	16	24
120146	0	0	0	0
120224	1	2	1	1
120227	67	86	84	92
120237	0	0	0	1
1203	743	1171	936	1132
120376	5	14	9	20
120379	25	29	14	14
120400	0	0	0	0
120406	0	2	1	3
120425	0	0	0	1
120526	195	299	277	250
120534	266	478	355	497
120586	0	0	0	0
1207	652	1302	877	1166
120775	0	0	0	0
120776	0	0	0	0
120787	0	1	0	0
120793	0	0	0	0
120796	0	0	0	0
1208	0	0	0	0
120824	0	0	0	0
120863	7	10	5	12
120892	754	879	817	687
1209	1405	2272	1837	1789
120935	1	1	0	2
120939	2	5	0	0
121006	0	0	0	0
121053	21	51	52	77
1211	1369	2572	2041	2351
121130	0	0	0	0
1212	698	1012	843	701
121214	1	1	0	0
121227	1058	2289	1764	2198
121256	0	0	0	0
121260	376	507	456	517
121268	18	16	11	12
121273	1	0	0	0
121274	142	244	196	198
121275	0	2	0	0
121278	1	0	1	0
1213	7931	13459	10011	11428
121340	0	0	0	0
121355	0	0	0	0
121364	0	0	0	0
121391	0	0	0	0
121441	312	505	374	441
121456	4	9	2	4
121457	757	1319	1231	1384
1215	2	3	0	0
121504	4	4	4	2
121506	25	8	3	2
121512	1292	450	1436	369
121536	392	799	581	759
121549	0	0	0	0
121551	9	7	55	22
121599	0	0	1	0
121601	39	34	44	57
121642	84	165	143	165
121643	0	0	0	0
121665	759	1178	832	1020
121793	15	20	16	13
121838	0	1	0	0
121952	0	2	3	4
122011	1	10	6	4
122042	0	1	0	0
122046	1	2	4	7
122060	0	0	2	5
122183	0	0	0	0
122258	0	0	0	0
122402	2	3	10	11
122416	37	87	55	61
122481	3	9	9	5
122509	100	139	145	148
122525	127	194	135	179
122553	444	661	445	494
122616	98	184	89	142
122618	2	6	2	3
122622	36	147	97	206
122651	0	0	0	0
122664	0	0	0	0
122665	0	0	0	0
122704	202	410	326	351
122706	1	1	0	0
122740	0	0	0	0
122742	0	0	0	0
122748	0	0	0	0
122769	69	107	84	96
122773	53	102	57	67
122786	4016	6659	4311	6300
122809	475	642	639	663
122830	402	592	434	495
122876	0	0	0	0
122945	3	10	2	10
122953	698	1955	1299	1469
122961	161	270	244	246
122970	4	8	26	5
123	1893	2692	2714	2258
1230	4	31	3	15
123016	354	958	478	743
123036	62	36	35	23
123041	3	6	2	2
123096	158	297	280	377
123099	1	1	0	4
123103	4	8	4	2
123169	248	522	359	393
1232	0	2	1	2
123207	184	307	194	223
123228	34	71	39	49
123263	171	236	201	163
123264	16	61	45	134
123283	87	247	108	230
1233	0	0	0	0
123346	0	0	0	0
123355	106	209	151	195
1234	1	7	0	1
1235	0	0	1	0
123591	20	28	12	13
1236	12	28	17	28
123606	270	375	348	305
123624	0	0	0	0
123688	18	32	28	25
1237	0	0	0	0
123720	235	275	328	257
123722	1	2	3	1
123745	0	0	0	0
123775	7	34	17	23
1238	23	9	22	10
123803	742	1009	736	849
123811	471	705	589	666
123855	27	98	46	88
123872	0	4	1	0
123876	0	0	0	0
123879	286	315	399	251
123904	1	5	1	1
123920	500	668	657	720
123970	0	0	0	0
124	226	128	4	7
1240	0	1	0	1
124044	69	84	123	104
124045	28	81	48	51
124056	25	32	41	28
124093	21	23	49	37
1241	28	79	55	53
124149	24	47	2	2
124152	369	324	289	251
124220	0	0	0	0
124221	5	17	6	6
124222	35	49	79	74
124245	466	915	795	877
124274	0	0	0	0
124359	25	39	40	44
1244	9	9	20	16
124401	172	365	267	312
124402	192	257	377	261
124404	0	0	0	0
124411	83	129	100	112
124446	683	1174	847	1009
124454	179	413	285	343
124460	0	0	0	0
124491	23	41	49	57
124512	146	241	230	265
124535	0	1	1	0
124538	0	0	0	0
124540	88	187	206	211
124565	1872	2780	2480	2609
124583	1008	1647	1140	1476
124590	0	0	0	0
124599	0	0	0	0
124602	0	0	1	0
124626	0	0	0	0
124637	298	506	334	426
124641	28	45	34	47
124685	0	0	0	0
124739	7	2	10	6
124751	21	60	35	68
124773	0	1	0	1
124783	0	1	1	0
124790	10	36	15	15
124801	119	212	180	177
124808	212	382	216	257
124817	8	18	10	8
124842	0	0	1	1
124857	3	8	1	7
124871	0	0	0	0
124872	0	1	0	1
124912	0	0	1	0
124923	33	56	42	39
124925	0	2	1	0
124930	164	237	342	308
124935	155	318	149	196
124936	398	738	406	470
124944	297	593	514	574
124961	104	148	92	116
124975	0	0	0	0
124976	1	8	3	3
124989	21	33	58	59
124995	228	470	373	482
124997	563	849	1188	1103
125	38283	25566	52877	23279
125050	2	13	2	38
125058	530	873	1231	885
125061	212	326	217	204
125111	369	518	367	355
125113	0	0	0	0
125115	0	1	0	0
125144	6331	11676	14284	14663
125150	94	147	128	162
125170	89	158	121	190
125206	25	36	38	36
125228	134	252	196	245
125336	0	0	0	0
125476	30	84	55	75
125488	569	520	589	443
125704	0	0	0	0
1258	0	0	0	0
125875	2	6	8	7
125893	59	127	63	103
1259	0	0	0	0
125919	27	71	51	60
125931	0	0	0	0
125950	334	669	565	563
125958	0	0	0	0
125962	0	0	0	0
125963	0	0	0	0
125965	2	2	1	0
125972	0	1	0	0
125981	0	0	0	0
125988	250	474	474	485
125997	0	0	0	0
126	129	91	111	22
1260	0	0	0	0
126003	170	344	489	498
126006	1	1	0	0
126014	13	28	21	26
126017	50	87	51	59
126068	116	271	149	224
126069	17	56	28	43
126070	96	198	98	124
126074	12	25	29	23
126075	123	244	135	184
1261	104	196	1	2
126119	275	356	634	543
126123	0	0	0	0
126129	388	746	553	571
126133	149	297	319	276
126147	1	10	2	10
1262	2	2	1	5
126204	0	0	0	0
126205	0	0	0	0
126206	0	0	3	0
126208	130	290	244	322
126231	26	68	32	48
126248	6	20	3	7
126259	0	0	0	0
126272	37	50	34	42
126282	82	107	113	104
126295	33	82	32	38
126298	271	461	372	397
126299	199	411	342	354
1263	100	236	147	252
126306	0	2	0	0
126308	722	943	1021	890
126321	375	603	711	527
126326	9	7	11	5
126328	798	1727	1296	1436
126353	1	1	5	3
126364	2	26	1	6
126370	0	0	0	0
126374	327	339	318	320
126375	27	51	46	49
126382	46	52	72	54
126393	7793	13809	12471	13941
1264	962	1521	1164	461
126402	0	0	0	0
126410	0	1	0	1
126432	26	31	77	45
126433	111	194	158	161
1265	8565	9311	8641	6412
126520	0	2	2	5
126526	70	143	116	182
126536	0	0	0	1
126541	0	0	0	0
126549	4	4	8	10
126567	0	1	0	0
1266	5362	7181	6335	4372
126626	97	165	112	116
126637	0	0	0	0
126638	0	0	0	0
126661	23	51	26	41
126668	0	0	1	0
126669	3	6	2	2
126695	0	0	0	0
1267	1588	2253	2508	2626
126731	84	195	86	133
126755	0	0	0	0
126767	0	0	0	0
126789	104	206	186	214
126792	242	450	386	431
1268	0	0	1	0
126820	19	129	53	147
126823	5	19	13	10
126859	1	1	2	1
126868	2	4	2	1
1269	0	0	0	0
126917	114	218	169	231
126961	0	0	0	0
126969	132	146	103	89
127	21	10	2	2
1270	1	1	1	0
127002	74	110	114	71
127003	0	1	1	0
127018	188	276	239	220
